canonical_name,vendor,parent_company,ticker,category,revenue_model,aliases
NovaSeq X / 6000,Illumina,Illumina,ILMN,NGS Sequencing,Razor-Blade,"[""novaseq"", ""illumina novaseq"", ""novaseq x"", ""novaseq 6000"", ""hiseq"", ""solexa"", ""illumina short-read""]"
Revio / Sequel IIe,Pacific Biosciences,Pacific Biosciences,PACB,Long-Read Sequencing,Razor-Blade,"[""pacbio"", ""revio"", ""sequel"", ""hifi"", ""pacbio hifi"", ""long-read sequencing""]"
PromethION / P2 Solo,Oxford Nanopore,Oxford Nanopore,ONT,Long-Read Sequencing,Razor-Blade,"[""nanopore"", ""ont"", ""promethion"", ""minion"", ""p2solo"", ""p2 solo"", ""nanopore sequencing""]"
DNBSEQ-T7,MGI,MGI Tech,Private (China),NGS Sequencing,Razor-Blade,"[""mgi"", ""dnbseq"", ""bgi"", ""stereoseq""]"
AVITI,Element Biosciences,Element Biosciences,Private,NGS Sequencing,Razor-Blade,"[""element"", ""aviti"", ""element biosciences""]"
Chromium Controller,10x Genomics,10x Genomics,TXG,Single-Cell,Razor-Blade,"[""10x"", ""chromium"", ""10x genomics"", ""chromium controller"", ""single-cell rnaseq"", ""scrna-seq""]"
Visium / Xenium,10x Genomics,10x Genomics,TXG,Spatial Omics,Razor-Blade,"[""visium"", ""xenium"", ""10x visium"", ""10x xenium"", ""spatial transcriptomics""]"
MERSCOPE,Vizgen,Vizgen,Private,Spatial Omics,Razor-Blade,"[""merscope"", ""merfish"", ""vizgen""]"
PhenoCycler,Akoya Biosciences (delisted July 2025, merged w/ Quanterix QTRX),Akoya Biosciences,AKYA,Spatial Omics,Razor-Blade,"[""phenocycler"", ""codex"", ""opal"", ""akoya""]"
CosMx / GeoMx,Standard BioTools,Standard BioTools,LAB,Spatial Omics,Razor-Blade,"[""cosmx"", ""geomx"", ""nanostring"", ""standard biotools""]"
FACSAria / LSRFortessa,BD Biosciences,BD,BDX,Flow Cytometry,Razor-Blade,"[""bd facs"", ""facsaria"", ""lsrfortessa"", ""fortessa"", ""bd rhapsody"", ""flow cytometer"", ""facs""]"
CytoFLEX,Beckman Coulter,Danaher,DHR,Flow Cytometry,Razor-Blade,"[""cytoflex"", ""beckman coulter"", ""beckman""]"
Aurora,Cytek,Cytek,CTKB,Flow Cytometry,Hybrid,"[""cytek"", ""aurora"", ""full spectrum""]"
ID7000,Sony Biotechnology,Sony,Private (Sub),Flow Cytometry,Razor-Blade,"[""sony"", ""id7000"", ""sony id7000"", ""spectral cell analyzer""]"
Orbitrap / Q Exactive,Thermo Fisher,Thermo Fisher,TMO,Mass Spectrometry,Razor-Blade,"[""orbitrap"", ""thermo"", ""q exactive"", ""fusion lumos"", ""thermo fisher"", ""mass spectrometry"", ""lc-ms""]"
timsTOF / timsTOF fleX,Bruker,Bruker,BRKR,Mass Spectrometry & Imaging,Hardware/Service,"[""bruker"", ""timstof"", ""timstof flex"", ""maldi"", ""fticr"", ""maldi-2"", ""ultraflextreme"", ""rapiflex""]"
Shimadzu iMScope,Shimadzu,Shimadzu,Private (Japan),Imaging Mass Spectrometry,Razor-Blade,"[""imscope"", ""shimadzu"", ""imscope trio"", ""imscope qt"", ""maldi imaging""]"
Waters SYNAPT / MALDI,Waters,Waters,WAT,Mass Spectrometry,Razor-Blade,"[""waters"", ""synapt"", ""g2-si"", ""hdms"", ""maldi synapt""]"
MIBI / Multiplexed Ion Beam Imaging,Standard BioTools,Standard BioTools,LAB,Spatial Proteomics,Razor-Blade,"[""mibi"", ""multiplexed ion beam imaging"", ""fluidigm mibi"", ""standard biotools mibi""]"
SP8 / Stellaris,Leica,Danaher,DHR,Microscopy,Hardware,"[""leica"", ""sp8"", ""stellaris"", ""leica microsystems"", ""confocal""]"
LSM / Axio,Zeiss,Carl Zeiss,Private,Microscopy,Hardware,"[""zeiss"", ""lsm"", ""axio"", ""confocal""]"
Ti-E / Eclipse,Nikon,Nikon,Private,Microscopy,Hardware,"[""nikon"", ""ti-e"", ""eclipse"", ""nikon instruments""]"
Mai Tai / Spectra-Physics,Spectra-Physics,MKS Instruments,MKSI,Microscopy Laser,Hardware,"[""spectra-physics"", ""spectraphysics"", ""mai tai"", ""titanium sapphire laser"", ""ultrafast laser""]"
ThorLabs Optical Components,ThorLabs,ThorLabs,Private,Optical Components,Hardware,"[""thorlabs"", ""thor labs"", ""detector"", ""photodiode""]"
Physik Instrumente (PI),Physik Instrumente,Physik Instrumente,Private,Precision Motion,Hardware,"[""physik instrumente"", ""piezo lens holder"", ""piezo stage"", ""pi""]"
Galvo / Resonance Scanners,Cambridge Tech / Scanlab,Various,Various,Optical Scanning,Hardware,"[""galvo-mirror"", ""resonance scanner"", ""galvanometer scanner"", ""scan head""]"
Custom / Academic Rig,Academic / Custom,N/A,N/A,Custom Microscopy,N/A,"[""custom built"", ""independent neuroscience services"", ""home-built"", ""custom microscope""]"
Cerebus / Utah Array,Blackrock Neurotech,Blackrock,Private,Neurotech,Hardware,"[""blackrock"", ""cerebus"", ""utah array"", ""neuropixels"", ""multielectrode array""]"
EyeLink 1000,SR Research,SR Research,Private,Eye Tracking,Hardware,"[""eyelink"", ""sr research"", ""eye-link"", ""eye tracker""]"
TapeStation / ScreenTape,Agilent,Agilent,A,Electrophoresis / QC,Razor-Blade,"[""tapestation"", ""screentape"", ""agilent tapestation"", ""genomic dna screentape""]"
MACS Cell Separation System,Miltenyi Biotec,Miltenyi Biotec,Private,Cell Separation,Razor-Blade,"[""macs"", ""miltenyi"", ""macs system"", ""macs separator""]"
GelDoc / ChemiDoc,Bio-Rad,Bio-Rad,Private,Imaging,Hardware/Consumables,"[""geldoc"", ""chemidoc"", ""bio-rad geldoc"", ""imaging system""]"
Revolve Microscope,Echo,Echo,Private,Microscopy,Hardware,"[""revolve"", ""echo revolve"", ""rvl2"", ""widefield microscope""]"
Bioruptor,Diagenode,Diagenode,Private,Sample Prep,Hardware,"[""bioruptor"", ""diagenode"", ""sonicator""]"
Easy-nLC,Thermo Fisher,Thermo Fisher,TMO,Chromatography,Razor-Blade,"[""easy-nlc"", ""nano lc"", ""hplc system""]"
FAIMS Pro,Thermo Fisher,Thermo Fisher,TMO,Mass Spectrometry,Hardware Add-on,"[""faims"", ""faims pro"", ""faims pro interface""]"
